title,release_date,libsyn_page,download_link
"#94: October 19, 2017","Oct 20, 2017",https://knowledgefight.libsyn.com/knowledge-fight-october-19-2017,https://traffic.libsyn.com/secure/knowledgefight/10-19-17a.mp3
#95: Project Camelot Break,"Oct 23, 2017",https://knowledgefight.libsyn.com/knowledge-fight-project-camelot-break,https://traffic.libsyn.com/secure/knowledgefight/Camelot10-23a.mp3
"#96: October 22-23, 2017","Oct 25, 2017",https://knowledgefight.libsyn.com/knowledge-fight-oct-22-23-2017,https://traffic.libsyn.com/secure/knowledgefight/10-22-17.mp3
"#97: October 25, 2017","Oct 27, 2017",https://knowledgefight.libsyn.com/knowledge-fight-oct-25-2017,https://traffic.libsyn.com/secure/knowledgefight/10-25-17.mp3
"#98: May 2-3, 2012","Oct 30, 2017",https://knowledgefight.libsyn.com/knowledge-fight-may-2-3-2012,https://traffic.libsyn.com/secure/knowledgefight/5-2-3-12.mp3
"#99: November 1, 2017","Nov 2, 2017",https://knowledgefight.libsyn.com/knowledge-fight-nov-1-2017,https://traffic.libsyn.com/secure/knowledgefight/11-1-17a.mp3
"#100: January 6-7, 2016","Nov 6, 2017",https://knowledgefight.libsyn.com/knowledge-fight-jan-6-7-2016,https://traffic.libsyn.com/secure/knowledgefight/1-67-16.mp3
"#101: January 11, 2016","Nov 13, 2017",https://knowledgefight.libsyn.com/knowledge-fight-jan-11-2016,https://traffic.libsyn.com/secure/knowledgefight/1-11-16.mp3
#102: Alex On Russian Media,"Nov 14, 2017",https://knowledgefight.libsyn.com/knowledge-fight-alex-on-russian-media,https://traffic.libsyn.com/secure/knowledgefight/AlexOnRT.mp3
"#103: January 17, 2016","Nov 20, 2017",https://knowledgefight.libsyn.com/knowledge-fight-january-17-2016,https://traffic.libsyn.com/secure/knowledgefight/1-13-16.mp3
"#104: November 20, 2017","Nov 21, 2017",https://knowledgefight.libsyn.com/knowledge-fight-november-20-2017,https://traffic.libsyn.com/secure/knowledgefight/11-20-17.mp3
